achievementGameOn,"CgkI7PWMhvoCEAIQEQ"
achievementStartABattle,"CgkI7PWMhvoCEAIQDw"
achievementSmallArmy,"CgkI7PWMhvoCEAIQEA"
achievementSliceDice,"CgkI7PWMhvoCEAIQEg"
achievementCenturyMark,"CgkI7PWMhvoCEAIQEw"
achievementNinjaSlasher,"CgkI7PWMhvoCEAIQFA"
achievementSwordSwipes,"CgkI7PWMhvoCEAIQFQ"
achievementNinjaGuiding,"CgkI7PWMhvoCEAIQFg"
achievementSpeedKills,"CgkI7PWMhvoCEAIQFw"
achievementCloseCombat,"CgkI7PWMhvoCEAIQGA"
achievementSwiftPainful,"CgkI7PWMhvoCEAIQGQ"
achievementQuickKiller,"CgkI7PWMhvoCEAIQGg"
achievementFastHands,"CgkI7PWMhvoCEAIQGw"
achievementMach10,"CgkI7PWMhvoCEAIQHA"
achievementConcealedWeapons,"CgkI7PWMhvoCEAIQHQ"
achievementThrowEmIfYouGotEm,"CgkI7PWMhvoCEAIQHg"
achievementSharpDistance,"CgkI7PWMhvoCEAIQHw"
achievementChuckingStars,"CgkI7PWMhvoCEAIQIA"
achievementShuriken,"CgkI7PWMhvoCEAIQIQ"
achievement6pointedAssassin,"CgkI7PWMhvoCEAIQIg"
achievementArcher,"CgkI7PWMhvoCEAIQIw"
achievementLongRange,"CgkI7PWMhvoCEAIQJA"
achievementReadyAimFire,"CgkI7PWMhvoCEAIQJQ"
achievementBowArrow,"CgkI7PWMhvoCEAIQJg"
achievementDistantDamage,"CgkI7PWMhvoCEAIQJw"
achievementRobinTheHood,"CgkI7PWMhvoCEAIQKA"
achievementBluntTrauma,"CgkI7PWMhvoCEAIQKQ"
achievementThud,"CgkI7PWMhvoCEAIQKg"
achievementSwatEm,"CgkI7PWMhvoCEAIQKw"
achievementWoodenSoldier,"CgkI7PWMhvoCEAIQLA"
achievementSmackingEm,"CgkI7PWMhvoCEAIQLQ"
achievementTreeHugger,"CgkI7PWMhvoCEAIQLg"
achievementChainAttack,"CgkI7PWMhvoCEAIQLw"
achievementSicklesAway,"CgkI7PWMhvoCEAIQMA"
achievementAttackRetrieve,"CgkI7PWMhvoCEAIQMQ"
achievementCloseRangePower,"CgkI7PWMhvoCEAIQMg"
achievementChainEmTogether,"CgkI7PWMhvoCEAIQMw"
achievementGrimReapers,"CgkI7PWMhvoCEAIQNA"
achievementStabWounds,"CgkI7PWMhvoCEAIQNQ"
achievementMultiStriker,"CgkI7PWMhvoCEAIQNg"
achievementBluntedSaki,"CgkI7PWMhvoCEAIQNw"
achievementMetalSai,"CgkI7PWMhvoCEAIQOA"
achievementSaiYouLater,"CgkI7PWMhvoCEAIQOQ"
achievementMartialArtist,"CgkI7PWMhvoCEAIQOg"
achievementCombatant,"CgkI7PWMhvoCEAIQOw"
achievementFighter,"CgkI7PWMhvoCEAIQPA"
achievementSlicingUpTheCompetition,"CgkI7PWMhvoCEAIQPQ"
achievementTwoTalons,"CgkI7PWMhvoCEAIQPg"
achievementBreakingThrough,"CgkI7PWMhvoCEAIQPw"
achievementClawWarrior,"CgkI7PWMhvoCEAIQQA"
achievementAndSoItBegins,"CgkI7PWMhvoCEAIQQQ"
achievementCoinCollector,"CgkI7PWMhvoCEAIQQg"
achievementCoinoisseur,"CgkI7PWMhvoCEAIQQw"
achievementMoneyHungry,"CgkI7PWMhvoCEAIQRA"
achievementCoinVault,"CgkI7PWMhvoCEAIQRQ"
achievementOneCarat,"CgkI7PWMhvoCEAIQCQ"
achievementFiveCarat,"CgkI7PWMhvoCEAIQCg"
achievementTenCarat,"CgkI7PWMhvoCEAIQCw"
achievementTwentyCarat,"CgkI7PWMhvoCEAIQDA"
achievementCzar,"CgkI7PWMhvoCEAIQRg"
achievementKing,"CgkI7PWMhvoCEAIQRw"
achievementDictator,"CgkI7PWMhvoCEAIQSA"
achievementSulton,"CgkI7PWMhvoCEAIQSQ"
achievementMonarch,"CgkI7PWMhvoCEAIQSg"
achievementSoverign,"CgkI7PWMhvoCEAIQSw"
achievementSharpeningYourBlades,"CgkI7PWMhvoCEAIQTA"
achievementEdgeOfTheBlade,"CgkI7PWMhvoCEAIQTQ"
achievementSwordMaster,"CgkI7PWMhvoCEAIQAQ"
achievementSpeedItUp,"CgkI7PWMhvoCEAIQTg"
achievementGettingQuick,"CgkI7PWMhvoCEAIQTw"
achievementNunchuckMaster,"CgkI7PWMhvoCEAIQAw"
achievementPointy,"CgkI7PWMhvoCEAIQUA"
achievementPowerfulRage,"CgkI7PWMhvoCEAIQUQ"
achievementThrowingStarMaster,"CgkI7PWMhvoCEAIQBA"
achievementTestingFlight,"CgkI7PWMhvoCEAIQUg"
achievementIntermediateArcher,"CgkI7PWMhvoCEAIQUw"
achievementLongbowMaster,"CgkI7PWMhvoCEAIQBQ"
achievementKnockOnWood,"CgkI7PWMhvoCEAIQVA"
achievementJankaTest,"CgkI7PWMhvoCEAIQVQ"
achievementWoodStaffMaster,"CgkI7PWMhvoCEAIQDQ"
achievementChainGang,"CgkI7PWMhvoCEAIQVg"
achievementSickleWithIt,"CgkI7PWMhvoCEAIQVw"
achievementChainSickleMaster,"CgkI7PWMhvoCEAIQBg"
achievementBonsai,"CgkI7PWMhvoCEAIQWA"
achievementSaiAnora,"CgkI7PWMhvoCEAIQWQ"
achievementSaiMaster,"CgkI7PWMhvoCEAIQBw"
achievementSharpeningMyClaws,"CgkI7PWMhvoCEAIQWg"
achievementDualWield,"CgkI7PWMhvoCEAIQWw"
achievementHandClawMaster,"CgkI7PWMhvoCEAIQCA"
achievementRecruiter,"CgkI7PWMhvoCEAIQXA"
achievementArmyBuilder,"CgkI7PWMhvoCEAIQXQ"
achievementWarlord,"CgkI7PWMhvoCEAIQXg"
achievementFullPotential,"CgkI7PWMhvoCEAIQXw"
achievementQuestStarter,"CgkI7PWMhvoCEAIQYA"
achievementStickingWithIt,"CgkI7PWMhvoCEAIQYQ"
achievementAdventurer,"CgkI7PWMhvoCEAIQYg"
achievementJourneyman,"CgkI7PWMhvoCEAIQYw"
achievementRelentless,"CgkI7PWMhvoCEAIQZQ"
leaderboardHighestTotalScore,"CgkI7PWMhvoCEAIQDg"
